"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10671","TC006 - Login with invalid password","chromium","Tue Dec 09 01:13:10 WITA 2025","passed","Tue Dec 09 01:13:21 WITA 2025","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","14040","TC024 - Logout functionality","chromium","Tue Dec 09 01:12:03 WITA 2025","failed","Tue Dec 09 01:12:17 WITA 2025","Keycloak Login - Dashboard & Logout Tests","keycloak-dashboard-logout.spec.js","",""
"","7786","TC005 - Login with invalid username","chromium","Tue Dec 09 01:13:02 WITA 2025","passed","Tue Dec 09 01:13:10 WITA 2025","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","9876","TC022 - Login response time should be under 5 seconds","chromium","Tue Dec 09 01:15:28 WITA 2025","failed","Tue Dec 09 01:15:38 WITA 2025","Keycloak Login - Performance Tests","keycloak-performance.spec.js","",""
"","9679","TC007 - Login with empty username","chromium","Tue Dec 09 01:13:21 WITA 2025","passed","Tue Dec 09 01:13:30 WITA 2025","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","1538","TC021 - Login page load time should be under 3 seconds","chromium","Tue Dec 09 01:14:58 WITA 2025","passed","Tue Dec 09 01:15:00 WITA 2025","Keycloak Login - Performance Tests","keycloak-performance.spec.js","",""
"","9017","TC010 - Login with special characters in username","chromium","Tue Dec 09 01:13:47 WITA 2025","passed","Tue Dec 09 01:13:56 WITA 2025","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","6414","TC009 - Login with both fields empty","chromium","Tue Dec 09 01:13:40 WITA 2025","passed","Tue Dec 09 01:13:47 WITA 2025","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","13751","TC022c - Multiple sequential logins performance","chromium","Tue Dec 09 01:16:05 WITA 2025","failed","Tue Dec 09 01:16:19 WITA 2025","Keycloak Login - Performance Tests","keycloak-performance.spec.js","",""
"","15867","TC024b - Session persistence after page refresh","chromium","Tue Dec 09 01:12:46 WITA 2025","failed","Tue Dec 09 01:13:02 WITA 2025","Keycloak Login - Dashboard & Logout Tests","keycloak-dashboard-logout.spec.js","",""
"","7836","TC022b - Measure time to first contentful paint","chromium","Tue Dec 09 01:15:39 WITA 2025","passed","Tue Dec 09 01:15:47 WITA 2025","Keycloak Login - Performance Tests","keycloak-performance.spec.js","",""
"","9995","TC008 - Login with empty password","chromium","Tue Dec 09 01:13:30 WITA 2025","passed","Tue Dec 09 01:13:40 WITA 2025","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","13521","TC001 - Successful login with valid credentials","chromium","Tue Dec 09 01:13:56 WITA 2025","passed","Tue Dec 09 01:14:09 WITA 2025","Keycloak Login - Positive Flow","keycloak-login-positive.spec.js","",""
"","17716","TC023 - Verify dashboard loads after successful login","chromium","Tue Dec 09 01:11:08 WITA 2025","failed","Tue Dec 09 01:11:26 WITA 2025","Keycloak Login - Dashboard & Logout Tests","keycloak-dashboard-logout.spec.js","",""
"","9233","TC004 - Complete end-to-end authentication flow","chromium","Tue Dec 09 01:14:48 WITA 2025","failed","Tue Dec 09 01:14:58 WITA 2025","Keycloak Login - Positive Flow","keycloak-login-positive.spec.js","",""
"","4920","TC002 - Verify login page accessibility and elements","chromium","Tue Dec 09 01:14:09 WITA 2025","passed","Tue Dec 09 01:14:14 WITA 2025","Keycloak Login - Positive Flow","keycloak-login-positive.spec.js","",""
"","10526","TC003 - Login flow with form validation","chromium","Tue Dec 09 01:14:14 WITA 2025","passed","Tue Dec 09 01:14:25 WITA 2025","Keycloak Login - Positive Flow","keycloak-login-positive.spec.js","",""
